year_month,observed_q_max_cms,observed_q_min_cms,simulated_q_max_cms,simulated_q_min_cms,q_max_perc_change,q_min_perc_change
1989_03,2486.215,201.899,1256,204.6,-49.48144066382031,1.3377976116771224
1989_04,484.217,8.608,388.5,220.7,-19.76737702311154,2463.8940520446095
1989_05,1121.345,9.288,828.8,197,-26.088759480802075,2021.0163652024114
1989_06,484.217,9.429,496.8,175.8,2.598628300947721,1764.4607063315307
1989_07,424.752,73.341,592.7,180,39.54024936904359,145.42888697999757
1989_08,283.168,34.83,252.6,98.1,-10.79500508532038,181.65374677002583
1989_09,487.049,37.945,734.3,76.75,50.7651180887344,102.26643826591118
1989_10,3596.234,54.368,2188,177.3,-39.15857533186105,226.11094761624489
1989_11,281.469,83.251,278.1,137.4,-1.1969346535497591,65.04306254579524
1989_12,979.761,178.962,466.6,138.9,-52.37614071186748,-22.385757870385884
1990_01,685.267,88.065,446.4,226.5,-34.85750809538472,157.19638903082952
1990_02,1738.652,308.653,1161,328.8,-33.22412995815149,6.52739484145626
1990_03,824.019,294.495,619,344.1,-24.880372904022842,16.84408903376968
1990_04,671.108,16.367,504.4,234.4,-24.840711182104815,1332.1500580436243
1990_05,1789.622,67.394,1080,207.1,-39.65206060274181,207.29738552393385
1990_06,427.584,21.776,632.9,129.9,48.01769944619068,496.5282880235121
1990_07,245.79,14.272,345.4,101.2,40.526465682086325,609.0807174887892
1990_08,221.721,9.203,134.3,80.83,-39.42838071269749,778.3005541671195
1990_09,180.378,9.231,92.63,42.17,-48.64673075430485,356.8302459105189
1990_10,2746.73,6.428,2103,39.77,-23.436231446119567,518.6994399502179
1990_11,436.079,103.639,557.5,134.7,27.84380811733654,29.970377946525918
1990_12,673.94,11.355,278.9,124.4,-58.616494049915424,995.5526199911933
1991_01,1633.879,314.316,906.5,179.8,-44.51853533829616,-42.79642143575255
1991_02,413.425,21.011,314.5,247.6,-23.92816109330592,1078.4303460092333
1991_03,1792.453,168.485,1234,254.2,-31.155795995766695,50.87396504139833
1991_04,1837.76,129.125,1074,270.9,-41.55928956991119,109.79670861568248
1991_05,741.9,141.867,455.5,230.2,-38.60358538886642,62.264656333044336
1991_06,314.316,50.97,327.2,158.4,4.099059545171107,210.77104178928784
1991_07,286,10.76,592.5,112.6,107.16783216783216,946.4684014869888
1991_08,764.554,11.836,426.8,108.6,-44.17660492260847,817.5397093612708
1991_09,199.633,6.428,300.7,59.68,50.626399442977856,828.4380833851899
1991_10,207.562,6.116,137.4,35.36,-33.80291190102235,478.15565729234794
1991_11,254.851,10.449,192.9,32.24,-24.30871371899659,208.54627237056184
1991_12,252.303,7.192,193,37.83,-23.504674934503353,426.00111234705224
1992_01,269.576,7.617,229.2,52.38,-14.977594444609323,587.6723119338322
